src_id,dst_id,weight,interaction_count
1,13,0.01,1
1,11,0.02,2
1,6,0.03,3
1,3,0.04,4
1,4,0.05,5
1,5,0.06,6
1,15,0.07,7
1,14,0.08,8
1,7,0.09,9
1,8,0.1,10
1,12,0.11,11
1,9,0.12,12
1,10,0.13,13
1,16,0.14,14
2,1,0.15,15
2,18,0.16,16
2,19,0.17,17
2,20,0.18,18
2,21,0.19,19
2,22,0.2,20
2,23,0.21,21
2,24,0.22,22
2,25,0.23,23
2,26,0.24,24
2,27,0.25,25
2,28,0.26,26
2,29,0.27,27
2,30,0.28,28
2,31,0.29,29
2,32,0.3,30
2,33,0.31,31
2,34,0.32,32
2,35,0.33,33
2,36,0.34,34
2,37,0.35,35
2,38,0.36,36
2,39,0.37,37
2,40,0.38,38
2,41,0.39,39
2,42,0.4,40
2,43,0.41,41
2,44,0.42,42
2,45,0.43,43
2,46,0.44,44
2,47,0.45,45
2,48,0.46,46
2,49,0.47,47
2,50,0.48,48
2,51,0.49,49
2,52,0.5,50
2,53,0.51,1
2,54,0.52,2
2,55,0.53,3
2,56,0.54,4
2,57,0.55,5
2,58,0.56,6
2,16,0.57,7
2,59,0.58,8
2,60,0.59,9
2,61,0.6,10
2,62,0.61,11
2,63,0.62,12
2,64,0.63,13
2,65,0.64,14
2,66,0.65,15
2,67,0.66,16
2,68,0.67,17
2,69,0.68,18
2,70,0.69,19
2,71,0.7,20
2,72,0.71,21
2,73,0.72,22
2,74,0.73,23
2,75,0.74,24
2,76,0.75,25
2,77,0.76,26
2,78,0.77,27
2,79,0.78,28
2,80,0.79,29
2,81,0.8,30
2,82,0.81,31
2,83,0.82,32
2,84,0.83,33
2,85,0.84,34
2,86,0.85,35
2,87,0.86,36
2,88,0.87,37
2,89,0.88,38
2,90,0.89,39
2,91,0.9,40
2,92,0.91,41
2,93,0.92,42
2,94,0.93,43
2,95,0.94,44
2,96,0.95,45
2,97,0.96,46
2,98,0.97,47
2,99,0.98,48
2,100,0.99,49
2,101,1.0,50
2,102,0.01,1
2,103,0.02,2
2,104,0.03,3
2,105,0.04,4
2,106,0.05,5
2,107,0.06,6
2,108,0.07,7
2,109,0.08,8
2,110,0.09,9
2,111,0.1,10
2,112,0.11,11
2,113,0.12,12
2,114,0.13,13
2,115,0.14,14
2,116,0.15,15
2,117,0.16,16
2,118,0.17,17
2,119,0.18,18
2,120,0.19,19
2,121,0.2,20
2,122,0.21,21
2,123,0.22,22
2,124,0.23,23
2,125,0.24,24
2,126,0.25,25
2,127,0.26,26
2,128,0.27,27
2,129,0.28,28
2,130,0.29,29
2,131,0.3,30
2,132,0.31,31
2,133,0.32,32
2,134,0.33,33
2,135,0.34,34
2,136,0.35,35
2,137,0.36,36
2,138,0.37,37
2,139,0.38,38
2,140,0.39,39
2,141,0.4,40
2,142,0.41,41
2,143,0.42,42
2,144,0.43,43
2,145,0.44,44
2,146,0.45,45
2,147,0.46,46
2,148,0.47,47
2,149,0.48,48
2,150,0.49,49
2,151,0.5,50
2,152,0.51,1
2,153,0.52,2
2,154,0.53,3
2,155,0.54,4
2,156,0.55,5
2,157,0.56,6
2,158,0.57,7
2,159,0.58,8
2,160,0.59,9
2,161,0.6,10
2,162,0.61,11
2,163,0.62,12
2,164,0.63,13
2,165,0.64,14
2,166,0.65,15
2,167,0.66,16
2,168,0.67,17
2,169,0.68,18
2,170,0.69,19
2,171,0.7,20
2,172,0.71,21
2,173,0.72,22
3,1,0.73,23
3,807726,0.74,24
3,1381344,0.75,25
4,1,0.76,26
5,1,0.77,27
5,178,0.78,28
5,175,0.79,29
5,179,0.8,30
5,180,0.81,31
5,182,0.82,32
5,183,0.83,33
5,174,0.84,34
5,184,0.85,35
5,185,0.86,36
5,181,0.87,37
5,176,0.88,38
5,187,0.89,39
5,188,0.9,40
6,1,0.91,41
6,48017,0.92,42
6,307866,0.93,43
6,320079,0.94,44
6,620900,0.95,45
7,1,0.96,46
7,225,0.97,47
7,217,0.98,48
7,206,0.99,49
7,203,1.0,50
7,207,0.01,1
7,194,0.02,2
7,208,0.03,3
7,204,0.04,4
7,202,0.05,5
7,193,0.06,6
7,201,0.07,7
7,211,0.08,8
7,221,0.09,9
7,21,0.1,10
7,90,0.11,11
7,13,0.12,12
7,227,0.13,13
7,191,0.14,14
7,200,0.15,15
7,199,0.16,16
7,198,0.17,17
7,205,0.18,18
7,219,0.19,19
7,212,0.2,20
7,220,0.21,21
7,192,0.22,22
7,218,0.23,23
7,213,0.24,24
7,210,0.25,25
7,209,0.26,26
7,228,0.27,27
7,224,0.28,28
7,222,0.29,29
7,229,0.3,30
7,230,0.31,31
7,231,0.32,32
7,226,0.33,33
7,214,0.34,34
7,232,0.35,35
7,233,0.36,36
7,234,0.37,37
7,235,0.38,38
7,236,0.39,39
8,1,0.4,40
8,247089,0.41,41
8,869832,0.42,42
8,880477,0.43,43
9,1,0.44,44
9,350,0.45,45
9,371,0.46,46
9,373,0.47,47
9,5056,0.48,48
9,6899,0.49,49
9,7145,0.5,50
9,7839,0.51,1
9,10739,0.52,2
9,13411,0.53,3
9,17818,0.54,4
9,18132,0.55,5
9,74533,0.56,6
9,104743,0.57,7
9,121505,0.58,8
9,139927,0.59,9
9,147289,0.6,10
9,150049,0.61,11
9,153188,0.62,12
9,153189,0.63,13
9,153181,0.64,14
9,153250,0.65,15
9,154989,0.66,16
9,154991,0.67,17
9,156756,0.68,18
9,161175,0.69,19
9,162067,0.7,20
9,220348,0.71,21
9,268609,0.72,22
9,268618,0.73,23
9,655717,0.74,24
9,863419,0.75,25
9,882339,0.76,26
9,1013673,0.77,27
9,1473438,0.78,28
10,1,0.79,29
10,286,0.8,30
10,288,0.81,31
10,285,0.82,32
10,33,0.83,33
10,241,0.84,34
10,282,0.85,35
10,283,0.86,36
10,238,0.87,37
10,190,0.88,38
10,242,0.89,39
10,268,0.9,40
10,269,0.91,41
10,253,0.92,42
10,261,0.93,43
10,290,0.94,44
10,60,0.95,45
10,251,0.96,46
